"school_id","school_name","activity_name","alg","level_of_play","event_date","event_time","score","event_name","location","source_activity_url","matchup_link","address"
"953","Battle High School","Volleyball Girls","57","Varsity","9/24","7:00 pm","","Hickman","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=953&alg=57","https://www.mshsaa.org/MySchool/Matchup.aspx?s=953&alg=57&comp=2762759","7575 St. Charles Road, Columbia, MO 65202"
"217","Blair Oaks High School","Softball Fall Season","38","Varsity","9/24","5:00 pm","","Fatima","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=217&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=217&alg=38&comp=2632326","6124 Falcon Ln, Jefferson City, MO 65101-9751"
"217","Blair Oaks High School","Volleyball Girls","57","Varsity","9/24","6:30 pm","","Hallsville","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=217&alg=57","https://www.mshsaa.org/MySchool/Matchup.aspx?s=217&alg=57&comp=2632341","421 E Hwy 124, Hallsville, MO 65255-9346"
"16","Boonville High School","Soccer Boys","33","Varsity","9/24","5:00 pm","","Fatima","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=16&alg=33","https://www.mshsaa.org/MySchool/Matchup.aspx?s=16&alg=33&comp=2702124","1 Pirate Dr., Boonville, MO 65233-2740"
"16","Boonville High School","Tennis Girls","49","Varsity","9/24","4:00 pm","","Mexico","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=16&alg=49","https://www.mshsaa.org/MySchool/Matchup.aspx?s=16&alg=49&comp=2758676","639 N Wade, Mexico, MO 65265-1899"
"16","Boonville High School","Volleyball Girls","57","Varsity","9/24","6:30 pm","","St. Paul Lutheran (Concordia)","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=16&alg=57","https://www.mshsaa.org/MySchool/Matchup.aspx?s=16&alg=57&comp=2630730","205 S Main St., Concordia, MO 64020-9669"
"582","California High School","Golf Girls","24","Varsity","9/24","4:00 pm","","Southern Boone","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=582&alg=24","https://www.mshsaa.org/MySchool/Matchup.aspx?s=582&alg=24&comp=2639044","1501 W Buchanan, California, MO 65018-1279"
"582","California High School","Softball Fall Season","38","Varsity","9/24-26","","","California Turf War","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=582&alg=38","https://www.mshsaa.org/MySchool/Tournament.aspx?s=582&alg=38&tournament=542707","California, MO"
"582","California High School","Volleyball Girls","57","Varsity","9/24","7:00 pm","","Helias Catholic","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=582&alg=57","https://www.mshsaa.org/MySchool/Matchup.aspx?s=582&alg=57&comp=2643075","1501 W Buchanan, California, MO 65018-1279"
"26","Camdenton High School","Softball Fall Season","38","Varsity","9/24","4:30 pm","","Jefferson City","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=26&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=26&alg=38&comp=2650269","609 Union St, Jefferson City, MO 65101-2898"
"26","Camdenton High School","Swimming and Diving Boys","44","Varsity","9/24","","","Lebanon Invite","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=26&alg=44","https://www.mshsaa.org/MySchool/Tournament.aspx?s=26&alg=44&tournament=592388","Lebanon, MO"
"26","Camdenton High School","Tennis Girls","49","Varsity","9/24","4:00 pm","","Bolivar","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=26&alg=49","https://www.mshsaa.org/MySchool/Matchup.aspx?s=26&alg=49&comp=2742713","1401 N. Pomme De Terre Ave., Bolivar, MO 65613-8282"
